更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
央视文化精品,http://106.59.2.102:55555/rtp/239.200.200.92:8028$云南电信
电视指南,http://106.118.75.108:4022/rtp/239.254.201.217:7250$河北省电信
电视指南,http://106.59.2.102:55555/rtp/239.200.200.83:8000$云南电信
中学生,http://106.59.2.102:55555/rtp/239.200.200.136:8060$云南电信
发现之旅,http://106.59.2.102:55555/rtp/239.200.201.164:8128$云南电信
国学频道,http://106.59.2.102:55555/rtp/239.200.200.97:8108$云南电信
环球奇观,http://106.59.2.102:55555/rtp/239.200.200.94:8100$云南电信

卫视频道,#genre#
湖南卫视,http://106.118.75.108:4022/rtp/239.254.200.48:8012$河北省电信
湖南卫视,http://117.82.88.137:5555/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://59.175.8.151:4022/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://106.59.2.102:55555/rtp/239.200.200.6:8012$云南电信
浙江卫视,http://106.118.75.108:4022/rtp/239.254.200.53:8036$河北省电信
浙江卫视,http://117.82.88.137:5555/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://59.175.8.151:4022/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://106.59.2.102:55555/rtp/239.200.200.35:8204$云南电信
江苏卫视,http://106.118.75.108:4022/rtp/239.254.200.51:8028$河北省电信
江苏卫视,http://117.82.88.137:5555/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://59.175.8.151:4022/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://106.59.2.102:55555/rtp/239.200.200.36:8208$云南电信
东方卫视,http://106.118.75.108:4022/rtp/239.254.200.52:8032$河北省电信
东方卫视,http://117.82.88.137:5555/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://59.175.8.151:4022/rtp/239.254.96.142:8926$湖北电信
东方卫视,http://106.59.2.102:55555/rtp/239.200.200.48:8260$云南电信
